tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,,,,cg05975881,
,,,,cg04537050,
,,,,cg03449543,
,,,,cg04593780,
,,,,cg01866215,
,,,,cg03822259,
,,,,cg09320346,
,,,,cg08717632,
,,,,cg03589920,
,,,,cg26680760,
,,,,cg09729563,
,,,,cg02496111,
,,,,cg04703617,
,,,,cg10092709,
,,,,cg26863821,
,,,,cg13928306,
,,,,cg05225996,
,,,,cg02512168,
,,,,cg03110310,
,,,,cg05112582,
,,,,cg27367045,
,,,,cg08835910,
,,,,cg09620277,
,,,,cg03152800,
,,,,cg27493345,
,,,,cg27419824,
,,,,cg02519504,
,,,,cg01093395,
,,,,cg04645063,
,,,,cg23201199,
,,,,cg06186041,
,,,,cg06114456,
,,,,cg04164172,
,,,,cg01729089,
,,,,cg10841076,
,,,,cg03486411,
,,,,cg09900463,
,,,,cg09981030,
,,,,cg04931493,
,,,,cg03548344,
,,,,cg05036635,
,,,,cg05595088,
,,,,cg04946910,
,,,,cg18700428,
,,,,cg05107535,
,,,,cg08151623,
,,,,cg00146004,
,,,,cg27081103,
,,,,cg26571320,
,,,,cg27116061,
,,,,cg03281661,
,,,,cg09617993,
,,,,cg05196366,
,,,,cg06897145,
,,,,cg26988423,
,,,,cg02970836,
,,,,cg05048377,
,,,,cg02882504,
,,,,cg05576262,
,,,,cg01196950,
,,,,cg03791005,
,,,,cg00933210,
,,,,cg27376182,
,,,,cg00692277,
,,,,cg06211550,
,,,,cg04125303,
,,,,cg07474083,
,,,,cg06755373,
,,,,cg26843848,
,,,,cg08577776,
,,,,cg01097180,
,,,,cg05033333,
,,,,cg08626445,
,,,,cg26525342,
,,,,cg13899478,
,,,,cg07891531,
,,,,cg06081518,
,,,,cg02074591,
,,,,cg06655796,
,,,,cg05845650,
,,,,cg10068491,
,,,,cg06218932,
,,,,cg03955409,
,,,,cg01177907,
,,,,cg01449415,
,,,,cg14443090,
,,,,cg01960789,
,,,,cg06910254,
,,,,cg06893123,
,,,,cg26702001,
,,,,cg19703826,
,,,,cg10256349,
,,,,cg00343063,
,,,,cg09936008,
,,,,cg00776770,
,,,,cg00872270,
,,,,cg00794641,
,,,,cg05597908,
,,,,cg02660541,
,,,,cg00218149,
,,,,cg00761126,
,,,,cg09901574,
,,,,cg03356115,
,,,,cg07606021,
,,,,cg02468121,
,,,,cg07101909,
,,,,cg03286682,
,,,,cg06396762,
,,,,cg03001711,
,,,,cg01432405,
,,,,cg07044792,
,,,,cg04588774,
,,,,cg12508331,
,,,,cg04385733,
,,,,cg00276792,
,,,,cg16799897,
,,,,cg18408991,
,,,,cg02532518,
,,,,cg04635334,
,,,,cg08289130,
,,,,cg01455766,
,,,,cg05982460,
,,,,cg03296575,
,,,,cg00427939,
,,,,cg09471916,
,,,,cg01966756,
,,,,cg03126765,
,,,,cg06195379,
,,,,cg08659421,
,,,,cg00471190,
,,,,cg08978665,
,,,,cg18350391,
,,,,cg26724967,
,,,,cg00239353,
,,,,cg01594685,
,,,,cg08967456,
,,,,cg01703993,
,,,,cg05053594,
,,,,cg04301246,
,,,,cg05674990,
,,,,cg23711144,
,,,,cg04565630,
,,,,cg03446165,
,,,,cg00185122,
,,,,cg01270736,
,,,,cg07451886,
,,,,cg02680314,
,,,,cg26927231,
,,,,cg26942943,
,,,,cg05608716,
,,,,cg14974711,
,,,,cg00456894,
,,,,cg20543416,
,,,,cg07556151,
,,,,cg10228555,
,,,,cg04263125,
,,,,cg08415046,
,,,,cg27080259,
,,,,cg01222133,
,,,,cg12703194,
,,,,cg07581922,
,,,,cg05850762,
,,,,cg04919263,
,,,,cg27130176,
,,,,cg12686273,
,,,,cg04961866,
,,,,cg04612503,
,,,,cg04293152,
,,,,cg07861603,
,,,,cg03015758,
,,,,cg20364187,
,,,,cg00449812,
,,,,cg08937107,
,,,,cg08888410,
,,,,cg10832708,
,,,,cg04245634,
,,,,cg03935731,
,,,,cg05469614,
,,,,cg06931267,
,,,,cg22955525,
,,,,cg07925758,
,,,,cg27638742,
,,,,cg27625401,
,,,,cg05975881,
,,,,cg04537050,
,,,,cg03449543,
,,,,cg04593780,
,,,,cg01866215,
,,,,cg03822259,
,,,,cg09320346,
,,,,cg08717632,
,,,,cg03589920,
,,,,cg26680760,
,,,,cg09729563,
,,,,cg02496111,
,,,,cg04703617,
,,,,cg10092709,
,,,,cg26863821,
,,,,cg13928306,
,,,,cg05225996,
,,,,cg02512168,
,,,,cg03110310,
,,,,cg05112582,
,,,,cg27367045,
,,,,cg08835910,
,,,,cg09620277,
,,,,cg03152800,
,,,,cg27493345,
,,,,cg27419824,
,,,,cg02519504,
,,,,cg01093395,
,,,,cg04645063,
,,,,cg23201199,
,,,,cg06186041,
,,,,cg06114456,
,,,,cg04164172,
,,,,cg01729089,
,,,,cg10841076,
,,,,cg03486411,
,,,,cg09900463,
,,,,cg09981030,
,,,,cg05845650,
,,,,cg10068491,
,,,,cg06218932,
,,,,cg03955409,
,,,,cg01177907,
,,,,cg01449415,
,,,,cg14443090,
,,,,cg01960789,
,,,,cg06910254,
,,,,cg06893123,
,,,,cg26702001,
,,,,cg19703826,
,,,,cg10256349,
,,,,cg00343063,
,,,,cg09936008,
,,,,cg00776770,
,,,,cg00872270,
,,,,cg00794641,
,,,,cg05597908,
,,,,cg02660541,
,,,,cg00218149,
,,,,cg00761126,
,,,,cg09901574,
,,,,cg03356115,
,,,,cg07606021,
,,,,cg02468121,
,,,,cg07101909,
,,,,cg03286682,
,,,,cg06396762,
,,,,cg03001711,
,,,,cg01432405,
,,,,cg07044792,
,,,,cg04588774,
,,,,cg12508331,
,,,,cg04385733,
,,,,cg00276792,
,,,,cg16799897,
,,,,cg18408991,
,,,,cg02532518,
,,,,cg04635334,
,,,,cg08289130,
,,,,cg01455766,
,,,,cg05982460,
,,,,cg03296575,
,,,,cg20970752,
,,,,cg01663696,
,,,,cg01734240,
,,,,cg12688240,
,,,,cg10660253,
,,,,cg16314923,
,,,,cg01786216,
,,,,cg00925156,
,,,,cg15693299,
,,,,cg21839972,
,,,,cg08857839,
,,,,cg18460107,
,,,,cg22194129,
,,,,cg23793961,
,,,,cg03938369,
,,,,cg01802532,
,,,,cg22871610,
,,,,cg00048697,
,,,,cg08272835,
,,,,cg18947527,
,,,,cg16918161,
,,,,cg25953672,
,,,,cg14679653,
,,,,cg09848324,
,,,,cg21917272,
,,,,cg16663022,
,,,,cg20260841,
,,,,cg00659990,
,,,,cg06085476,
,,,,cg07236904,
,,,,cg23506964,
,,,,cg07500410,
,,,,cg11774413,
,,,,cg18928811,
,,,,cg25181236,
,,,,cg04485603,
,,,,cg05960024,
,,,,cg26910270,
,,,,cg18853718,
,,,,cg13110749,
,,,,cg20332660,
,,,,cg07707479,
,,,,cg20320283,
,,,,cg18983672,
,,,,cg00806138,
,,,,cg13017614,
,,,,cg19809499,
,,,,cg18815943,
,,,,cg01281911,
,,,,cg22796507,
,,,,cg23115387,
,,,,cg27175287,
,,,,cg02916713,
,,,,cg13569017,
,,,,cg04078221,
,,,,cg00580340,
,,,,cg05402131,
,,,,cg05658236,
,,,,cg18595867,
,,,,cg13851904,
,,,,cg24931632,
,,,,cg09277376,
,,,,cg09269866,
,,,,cg22438763,
,,,,cg08638320,
,,,,cg25880954,
,,,,cg26518431,
,,,,cg23659056,
,,,,cg24114899,
,,,,cg16342298,
,,,,cg14106085,
,,,,cg16657448,
,,,,cg06611075,
,,,,cg21391919,
,,,,cg07954828,
,,,,cg13682692,
,,,,cg09515767,
,,,,cg07287463,
,,,,cg16076997,
,,,,cg15691862,
,,,,cg14513071,
,,,,cg02294302,
,,,,cg11393040,
,,,,cg16013720,
,,,,cg21475270,
,,,,cg24525176,
,,,,cg13167730,
,,,,cg13674174,
,,,,cg03499234,
,,,,cg19250799,
,,,,cg06829686,
,,,,cg00203284,
,,,,cg20284629,
,,,,cg13936452,
,,,,cg06531379,
,,,,cg26864230,
,,,,cg21535606,
,,,,cg08260398,
,,,,cg02267408,
,,,,cg17428085,
,,,,cg18017482,
,,,,cg00256155,
,,,,cg22606303,
,,,,cg04908380,
,,,,cg07870914,
,,,,cg17863681,
,,,,cg26910270,
,,,,cg18853718,
,,,,cg13110749,
,,,,cg20332660,
,,,,cg07707479,
,,,,cg20320283,
,,,,cg18983672,
,,,,cg00806138,
,,,,cg13017614,
,,,,cg19809499,
,,,,cg18815943,
,,,,cg01281911,
,,,,cg22796507,
,,,,cg23115387,
,,,,cg27175287,
,,,,cg02916713,
,,,,cg13569017,
,,,,cg04078221,
,,,,cg00580340,
,,,,cg05402131,
,,,,cg05658236,
,,,,cg18595867,
,,,,cg13851904,
,,,,cg24931632,
,,,,cg09277376,
,,,,cg09269866,
,,,,cg22438763,
,,,,cg08638320,
,,,,cg25880954,
,,,,cg26518431,
,,,,cg23659056,
,,,,cg24114899,
,,,,cg16342298,
,,,,cg14106085,
,,,,cg16657448,
,,,,cg06611075,
,,,,cg21391919,
,,,,cg07954828,
,,,,cg13682692,
,,,,cg09515767,
,,,,cg07287463,
,,,,cg16076997,
,,,,cg15691862,
,,,,cg14513071,
,,,,cg02294302,
,,,,cg11393040,
,,,,cg16013720,
,,,,cg21475270,
,,,,cg24525176,
,,,,cg13167730,
,,,,cg13674174,
,,,,cg03499234,
,,,,cg19250799,
,,,,cg06829686,
,,,,cg00203284,
,,,,cg20284629,
,,,,cg13936452,
,,,,cg06531379,
,,,,cg26864230,
,,,,cg21535606,
,,,,cg08260398,
,,,,cg02267408,
,,,,cg17428085,
,,,,cg18017482,
,,,,cg00256155,
,,,,cg22606303,
,,,,cg04908380,
,,,,cg07870914,
,,,,cg17863681,
,,,,cg03166236,
,,,,cg20437098,
,,,,cg02414889,
,,,,cg06023570,
,,,,cg04174211,
,,,,cg05648183,
,,,,cg03065975,
,,,,cg13051968,
,,,,cg12498522,
,,,,cg01611886,
,,,,cg09064070,
,,,,cg16725094,
,,,,cg22070232,
,,,,cg20486407,
,,,,cg00186143,
,,,,cg10549986,
,,,,cg10959651,
,,,,cg18201077,
,,,,cg09829983,
,,,,cg15346781,
,,,,cg23213327,
,,,,cg18619300,
,,,,cg24935042,
,,,,cg25494151,
,,,,cg13452400,
,,,,cg25396690,
,,,,cg27218469,
,,,,cg18887033,
,,,,cg00137156,
,,,,cg27051171,
,,,,cg11044724,
,,,,cg07466433,
,,,,cg16719845,
,,,,cg01028142,
,,,,cg14851742,
,,,,cg08058160,
,,,,cg17918184,
,,,,cg10162251,
,,,,cg19076513,
,,,,cg06200803,
,,,,cg27569321,
,,,,cg26848478,
,,,,cg04571130,
,,,,cg09361958,
,,,,cg00221718,
,,,,cg26179667,
,,,,cg21100375,
,,,,cg04793090,
,,,,cg26353484,
,,,,cg02564756,
,,,,cg11831058,
,,,,cg18102469,
,,,,cg18963390,
,,,,cg05873078,
,,,,cg06097216,
,,,,cg14941031,
,,,,cg22221047,
,,,,cg22259778,
,,,,cg22817718,
,,,,cg02879784,
,,,,cg07081887,
,,,,cg22942101,
,,,,cg21192621,
,,,,cg13438640,
,,,,cg14777873,
,,,,cg15907699,
,,,,cg15766494,
,,,,cg16625230,
,,,,cg11287475,
,,,,cg25424488,
,,,,cg07730360,
,,,,cg10716343,
,,,,cg01313358,
,,,,cg07887806,
,,,,cg05985447,
,,,,cg03163878,
,,,,cg00623328,
,,,,cg24159435,
,,,,cg23409587,
,,,,cg26300597,
,,,,cg08001520,
,,,,cg06921156,
,,,,cg00911289,
,,,,cg04471454,
,,,,cg16318259,
,,,,cg11265319,
,,,,cg05859076,
,,,,cg03211902,
,,,,cg09539058,
,,,,cg26919014,
,,,,cg20722590,
,,,,cg20751926,
,,,,cg00961326,
,,,,cg16181803,
,,,,cg00204645,
,,,,cg08311965,
,,,,cg03220166,
,,,,cg08943809,
,,,,cg00963305,
,,,,cg20566643,
,,,,cg16652241,
,,,,cg01812337,
,,,,cg26725183,
,,,,cg00927169,
,,,,cg08514765,
,,,,cg08552042,
,,,,cg27208052,
,,,,cg04211309,
,,,,cg06649282,
,,,,cg04441775,
,,,,cg03746976,
,,,,cg23574752,
,,,,cg07398350,
,,,,cg04364504,
,,,,cg07181376,
,,,,cg01719220,
,,,,cg03278960,
,,,,cg07113322,
,,,,cg06129084,
,,,,cg10178960,
,,,,cg08230658,
,,,,cg04411841,
,,,,cg06866605,
,,,,cg10174191,
,,,,cg21757440,
,,,,cg00454856,
,,,,cg10464529,
,,,,cg20669561,
,,,,cg08894588,
,,,,cg01977756,
,,,,cg00491255,
,,,,cg12499872,
,,,,cg04370442,
,,,,cg08699646,
,,,,cg04462627,
,,,,cg05869503,
,,,,cg07844931,
,,,,cg01479664,
,,,,cg09033827,
,,,,cg26293512,
,,,,cg13156121,
,,,,cg08788681,
,,,,cg09232803,
,,,,cg10624445,
,,,,cg02259550,
,,,,cg05810848,
,,,,cg16480209,
,,,,cg00973322,
,,,,cg07776629,
,,,,cg05521581,
,,,,cg16628556,
,,,,cg16644760,
,,,,cg11536410,
,,,,cg03986620,
,,,,cg07620968,
,,,,cg08695452,
,,,,cg00488734,
,,,,cg04762890,
,,,,cg14010159,
,,,,cg04371126,
,,,,cg01707233,
,,,,cg05517218,
,,,,cg03635578,
,,,,cg22816913,
,,,,cg25930786,
,,,,cg17478075,
,,,,cg10194870,
,,,,cg05606351,
,,,,cg15472403,
,,,,cg05006449,
,,,,cg07861681,
,,,,cg21073459,
,,,,cg14511156,
,,,,cg18447740,
,,,,cg07455279,
,,,,cg21653878,
,,,,cg22912577,
,,,,cg21934323,
,,,,cg20953697,
,,,,cg05925291,
,,,,cg16659026,
,,,,cg25795456,
,,,,cg06815666,
,,,,cg13650689,
,,,,cg17892871,
,,,,cg05944623,
,,,,cg03049243,
,,,,cg10355212,
,,,,cg26832879,
,,,,cg04632683,
,,,,cg21488898,
,,,,cg05375744,
,,,,cg21075784,
,,,,cg15553911,
,,,,cg19822214,
,,,,cg20706482,
,,,,cg10791954,
,,,,cg26151740,
,,,,cg21700070,
,,,,cg21949697,
,,,,cg08204159,
,,,,cg09442606,
,,,,cg11441617,
,,,,cg24032214,
,,,,cg16183015,
,,,,cg26280415,
,,,,cg07451103,
,,,,cg08504905,
,,,,cg24794758,
,,,,cg14103113,
,,,,cg17168838,
,,,,cg01604348,
,,,,cg07884116,
,,,,cg27164031,
,,,,cg08069712,
,,,,cg09412792,
,,,,cg19250101,
,,,,cg09984124,
,,,,cg12559208,
,,,,cg22710065,
,,,,cg19488620,
,,,,cg03198578,
,,,,cg24182508,
,,,,cg26231094,
,,,,cg07928502,
,,,,cg01501461,
,,,,cg16183516,
,,,,cg24057041,
,,,,cg04347158,
,,,,cg00864768,
,,,,cg21577705,
,,,,cg03278989,
,,,,cg11776676,
,,,,cg12283674,
,,,,cg04512704,
,,,,cg12173535,
,,,,cg11680855,
,,,,cg03457587,
,,,,cg21086156,
,,,,cg20673926,
,,,,cg00000714,
,,,,cg07470396,
,,,,cg19364083,
,,,,cg24624841,
,,,,cg15680557,
,,,,cg24374538,
,,,,cg23195398,
,,,,cg10384134,
,,,,cg22155111,
,,,,cg09023840,
,,,,cg11569329,
,,,,cg15472802,
,,,,cg08396704,
,,,,cg07383972,
,,,,cg27410012,
,,,,cg22761619,
,,,,cg25119219,
,,,,cg07577263,
,,,,cg23885884,
,,,,cg19477020,
,,,,cg00492233,
,,,,cg03407666,
,,,,cg14182420,
,,,,cg26005146,
,,,,cg09932730,
,,,,cg27474649,
,,,,cg20833128,
,,,,cg03777868,
,,,,cg15227302,
,,,,cg22319885,
,,,,cg06145308,
,,,,cg09367075,
,,,,cg04442520,
,,,,cg17959943,
,,,,cg03266904,
,,,,cg08396481,
,,,,cg25871890,
,,,,cg01473643,
,,,,cg22787311,
,,,,cg11580575,
,,,,cg02379684,
,,,,cg23939866,
,,,,cg16577707,
,,,,cg11308046,
,,,,cg18437099,
,,,,cg05497240,
,,,,cg02379533,
,,,,cg00604840,
,,,,cg18188717,
,,,,cg10257049,
,,,,cg18260397,
,,,,cg15552172,
,,,,cg18355410,
,,,,cg14643039,
,,,,cg16315238,
,,,,cg20776454,
,,,,cg08873008,
,,,,cg11372683,
,,,,cg05428781,
,,,,cg17575087,
,,,,cg10214058,
,,,,cg01781805,
,,,,cg18632102,
,,,,cg11528517,
,,,,cg25631936,
,,,,cg17235179,
,,,,cg27633096,
,,,,cg12938814,
,,,,cg11257935,
,,,,cg18378419,
,,,,cg22787311,
,,,,cg11580575,
,,,,cg02379684,
,,,,cg23939866,
,,,,cg16577707,
,,,,cg11308046,
,,,,cg18437099,
,,,,cg05497240,
,,,,cg01167177,
,,,,cg12405087,
,,,,cg12924302,
,,,,cg01360281,
,,,,cg11262850,
,,,,cg17263206,
,,,,cg11923914,
,,,,cg17631779,
,,,,cg09088720,
,,,,cg23613317,
,,,,cg06912665,
,,,,cg16645907,
,,,,cg13689073,
,,,,cg26546373,
,,,,cg23944572,
,,,,cg04125370,
,,,,cg25387624,
,,,,cg02376834,
,,,,cg22512536,
,,,,cg02873242,
,,,,cg18775587,
,,,,cg05879720,
,,,,cg11913790,
,,,,cg13303229,
,,,,cg16835415,
,,,,cg06460883,
,,,,cg25948445,
,,,,cg15111708,
,,,,cg22479226,
,,,,cg15893532,
,,,,cg17490981,
,,,,cg18636698,
,,,,cg06062998,
,,,,cg25105060,
,,,,cg00640053,
,,,,cg18447645,
,,,,cg07416383,
,,,,cg22387174,
,,,,cg01198033,
,,,,cg02076869,
,,,,cg02638458,
,,,,cg05944137,
,,,,cg26388509,
,,,,cg25142340,
,,,,cg01026009,
,,,,cg19655177,
,,,,cg02798848,
,,,,cg10213695,
,,,,cg22922861,
,,,,cg02666042,
,,,,cg16037896,
,,,,cg14211598,
,,,,cg20131297,
,,,,cg20960833,
,,,,cg09406004,
,,,,cg24517467,
,,,,cg03143164,
,,,,cg11776014,
,,,,cg04914894,
,,,,cg27562948,
,,,,cg04516022,
,,,,cg07004999,
,,,,cg12547125,
,,,,cg00183888,
,,,,cg19391667,
,,,,cg22960347,
,,,,cg12904737,
,,,,cg15928188,
,,,,cg12107018,
,,,,cg10673318,
,,,,cg17719337,
,,,,cg02733025,
,,,,cg12844117,
,,,,cg26160626,
,,,,cg26000462,
,,,,cg11382477,
,,,,cg15032166,
,,,,cg25660566,
,,,,cg12105980,
,,,,cg07129924,
,,,,cg13102822,
,,,,cg01455568,
,,,,cg07870999,
,,,,cg07925415,
,,,,cg22610018,
,,,,cg18638118,
,,,,cg09450260,
,,,,cg19519911,
,,,,cg05056901,
,,,,cg12351751,
,,,,cg03209363,
,,,,cg23094836,
,,,,cg20183619,
,,,,cg07081770,
,,,,cg01597641,
,,,,cg11469391,
,,,,cg14978307,
,,,,cg16987754,
,,,,cg06597462,
,,,,cg16929199,
,,,,cg26986541,
,,,,cg24801587,
,,,,cg20987938,
,,,,cg00732845,
,,,,cg18966597,
,,,,cg07066550,
,,,,cg12371933,
,,,,cg05419671,
,,,,cg21051046,
,,,,cg04149039,
,,,,cg01447831,
,,,,cg10914137,
,,,,cg19256125,
,,,,cg20767111,
,,,,cg11648289,
,,,,cg23772205,
,,,,cg13677571,
,,,,cg16313026,
,,,,cg14036479,
,,,,cg12034383,
,,,,cg17803868,
,,,,cg20942223,
,,,,cg05462543,
,,,,cg22733133,
,,,,cg06385227,
,,,,cg14215702,
,,,,cg00085619,
,,,,cg12242086,
,,,,cg22461324,
,,,,cg21497990,
,,,,cg16935980,
,,,,cg20547407,
,,,,cg23466418,
,,,,cg02582057,
,,,,cg18835582,
,,,,cg17278072,
,,,,cg09727277,
,,,,cg01705934,
,,,,cg16535144,
,,,,cg23475625,
,,,,cg04828133,
,,,,cg02892388,
,,,,cg01914621,
,,,,cg03631864,
,,,,cg27506377,
,,,,cg04798314,
,,,,cg15505349,
,,,,cg21119962,
,,,,cg24040576,
,,,,cg12139096,
,,,,cg04108811,
,,,,cg09475815,
,,,,cg24589017,
,,,,cg09413723,
,,,,cg18171512,
,,,,cg01396391,
,,,,cg18107019,
,,,,cg17815049,
,,,,cg12910806,
,,,,cg14460735,
,,,,cg15447761,
,,,,cg25307556,
,,,,cg03354957,
,,,,cg24493137,
,,,,cg05721645,
,,,,cg10330832,
,,,,cg04307831,
,,,,cg00306607,
,,,,cg03614734,
,,,,cg20615951,
,,,,cg11812748,
,,,,cg15577822,
,,,,cg02737022,
,,,,cg15030636,
,,,,cg07180188,
,,,,cg01089364,
,,,,cg10205958,
,,,,cg20654468,
,,,,cg02044895,
,,,,cg23641267,
,,,,cg12891342,
,,,,cg23559222,
,,,,cg05013250,
,,,,cg04570322,
,,,,cg24684739,
,,,,cg20957095,
,,,,cg16503683,
,,,,cg06677781,
,,,,cg16725583,
,,,,cg04829746,
,,,,cg02250680,
,,,,cg06376522,
,,,,cg25169875,
,,,,cg18764007,
,,,,cg05742721,
,,,,cg08325842,
,,,,cg06395490,
,,,,cg23186952,
,,,,cg12027899,
,,,,cg00271311,
,,,,cg09514875,
,,,,cg10672108,
,,,,cg05921232,
,,,,cg26411814,
,,,,cg26229648,
,,,,cg18476176,
,,,,cg15696309,
,,,,cg11326311,
,,,,cg08643824,
,,,,cg02375166,
,,,,cg15676988,
,,,,cg11251293,
,,,,cg10892778,
,,,,cg19092322,
,,,,cg03936955,
,,,,cg24470887,
,,,,cg01243924,
,,,,cg06617202,
,,,,cg11835080,
,,,,cg15460899,
,,,,cg23225103,
,,,,cg00103209,
,,,,cg11560403,
,,,,cg14945297,
,,,,cg27529934,
,,,,cg24450653,
,,,,cg15542880,
,,,,cg03143531,
,,,,cg26795850,
,,,,cg18131828,
,,,,cg07972983,
,,,,cg05290904,
,,,,cg00960017,
,,,,cg07601985,
,,,,cg21214746,
,,,,cg02189925,
,,,,cg24103461,
,,,,cg23227967,
,,,,cg14717946,
,,,,cg24541176,
,,,,cg07882007,
,,,,cg25884854,
,,,,cg11409205,
,,,,cg06887542,
,,,,cg05766464,
,,,,cg05360176,
,,,,cg23951789,
,,,,cg17449403,
,,,,cg02500152,
,,,,cg07793889,
,,,,cg24836830,
,,,,cg18071532,
,,,,cg15382367,
,,,,cg26115531,
,,,,cg26333618,
,,,,cg07347128,
,,,,cg10037049,
,,,,cg25219939,
,,,,cg10592901,
,,,,cg14854850,
,,,,cg21843272,
,,,,cg02547054,
,,,,cg14311020,
,,,,cg27537561,
,,,,cg10195011,
,,,,cg13865595,
,,,,cg23654431,
,,,,cg03137447,
,,,,cg06369854,
,,,,cg16321474,
,,,,cg13556224,
,,,,cg02470587,
,,,,cg22833603,
,,,,cg05190176,
,,,,cg02714932,
,,,,cg20570544,
,,,,cg03391426,
,,,,cg11084518,
,,,,cg08458912,
,,,,cg13962153,
,,,,cg19002149,
,,,,cg05364072,
,,,,cg14285365,
,,,,cg24686825,
,,,,cg09890687,
,,,,cg01501018,
,,,,cg00169111,
,,,,cg20958959,
,,,,cg19380370,
,,,,cg20274824,
,,,,cg17327029,
,,,,cg11787186,
,,,,cg25304816,
,,,,cg02975505,
,,,,cg18233931,
,,,,cg26661718,
,,,,cg18116450,
,,,,cg16128155,
,,,,cg04237482,
,,,,cg23691858,
,,,,cg12900942,
,,,,cg16358438,
,,,,cg13134448,
,,,,cg11916186,
,,,,cg00115101,
,,,,cg24458400,
,,,,cg09806633,
,,,,cg16956745,
,,,,cg10376058,
,,,,cg04936062,
,,,,cg04213101,
,,,,cg25764695,
,,,,cg16056044,
,,,,cg14582546,
,,,,cg04788221,
,,,,cg03211173,
,,,,cg21407906,
,,,,cg04359004,
,,,,cg12695615,
,,,,cg24999924,
,,,,cg01227027,
,,,,cg09203029,
,,,,cg21387281,
,,,,cg07185174,
,,,,cg11818867,
,,,,cg24326267,
,,,,cg03070473,
,,,,cg26635824,
,,,,cg08641879,
,,,,cg04520420,
,,,,cg08525481,
,,,,cg00827392,
,,,,cg15473411,
,,,,cg05586622,
,,,,cg15262992,
,,,,cg25604043,
,,,,cg23371683,
,,,,cg13887016,
,,,,cg05085169,
,,,,cg13659138,
,,,,cg18753958,
,,,,cg11296498,
,,,,cg07827435,
,,,,cg08374798,
,,,,cg03798915,
,,,,cg14880348,
,,,,cg10760339,
,,,,cg24633656,
,,,,cg00837103,
,,,,cg08696494,
,,,,cg15505615,
,,,,cg10092867,
,,,,cg13203507,
,,,,cg11368502,
,,,,cg00516067,
,,,,cg16709385,
,,,,cg16461246,
,,,,cg12084392,
,,,,cg06033659,
,,,,cg14745622,
,,,,cg20331689,
,,,,cg16653692,
,,,,cg16847645,
,,,,cg22489878,
,,,,cg27206421,
,,,,cg16132351,
,,,,cg18291290,
,,,,cg18014624,
,,,,cg13900920,
,,,,cg11698944,
,,,,cg21686379,
,,,,cg03835983,
,,,,cg16570019,
,,,,cg02557432,
,,,,cg20829404,
,,,,cg24242082,
,,,,cg06497752,
,,,,cg13411522,
,,,,cg13283635,
,,,,cg03059921,
,,,,cg07841132,
,,,,cg02398789,
,,,,cg09166536,
,,,,cg22564949,
,,,,cg27564579,
,,,,cg06152856,
,,,,cg07305723,
,,,,cg13952002,
,,,,cg21722418,
,,,,cg18759081,
,,,,cg08021508,
,,,,cg00289503,
,,,,cg06598544,
,,,,cg19907964,
,,,,cg21017077,
,,,,cg17371014,
,,,,cg06094203,
,,,,cg06115865,
,,,,cg02939078,
,,,,cg01412764,
,,,,cg12928471,
,,,,cg10729531,
,,,,cg09037581,
,,,,cg02285715,
,,,,cg07645718,
,,,,cg05147244,
,,,,cg06978021,
,,,,cg12435494,
,,,,cg07740877,
,,,,cg24754336,
,,,,cg18815398,
,,,,cg08576350,
,,,,cg04038019,
,,,,cg14621701,
,,,,cg26856501,
,,,,cg01565160,
,,,,cg07279638,
,,,,cg10551166,
,,,,cg00959308,
,,,,cg03121168,
,,,,cg10380709,
,,,,cg24548108,
,,,,cg08329236,
,,,,cg26226951,
,,,,cg26881760,
,,,,cg12498453,
,,,,cg23096297,
,,,,cg07970734,
,,,,cg03879251,
,,,,cg15815827,
,,,,cg24991640,
,,,,cg06281278,
,,,,cg11647719,
,,,,cg11152033,
,,,,cg22066321,
,,,,cg19615731,
,,,,cg10006442,
,,,,cg21976603,
,,,,cg24105729,
,,,,cg04927429,
,,,,cg09861318,
,,,,cg24353466,
,,,,cg01952793,
,,,,cg03731171,
,,,,cg12461469,
,,,,cg10802371,
,,,,cg13512830,
,,,,cg15108553,
,,,,cg05594814,
,,,,cg17660945,
,,,,cg02745140,
,,,,cg13332706,
,,,,cg19974283,
,,,,cg00003529,
,,,,cg09850161,
,,,,cg02822963,
,,,,cg18759346,
,,,,cg07373836,
,,,,cg23536277,
,,,,cg07164266,
,,,,cg08945011,
,,,,cg19332303,
,,,,cg01946548,
,,,,cg15072038,
,,,,cg22529541,
,,,,cg10894222,
,,,,cg02977810,
,,,,cg15124547,
,,,,cg21605646,
,,,,cg12876038,
,,,,cg13734177,
,,,,cg11914370,
,,,,cg07534467,
,,,,cg08699181,
,,,,cg19416904,
,,,,cg02908189,
,,,,cg13004365,
,,,,cg10227731,
,,,,cg22524070,
,,,,cg01676552,
,,,,cg20129717,
,,,,cg06762679,
,,,,cg25201980,
,,,,cg03075725,
,,,,cg15839751,
,,,,cg04963066,
,,,,cg10333767,
,,,,cg11042902,
,,,,cg05851813,
,,,,cg13592003,
,,,,cg04151839,
,,,,cg11664809,
,,,,cg22800723,
,,,,cg15827818,
,,,,cg24346733,
,,,,cg05806620,
,,,,cg02436605,
,,,,cg02616160,
,,,,cg10639435,
,,,,cg08819934,
,,,,cg23712897,
,,,,cg11075878,
,,,,cg20145760,
,,,,cg13514955,
,,,,cg08437984,
,,,,cg12732805,
,,,,cg17198776,
,,,,cg24648864,
,,,,cg26421123,
